,heure,type,nb_pl,cam_num,cam_nom
1,0,Vehicules Legers,-283.0,"18,19",A660
2,0,PL locaux,119.0249060150376,"18,19",A660
3,1,PL en transit,172.73883696780894,"18,19",A660
4,1,Vehicules Legers,-253.0,"18,19",A660
5,1,PL locaux,80.26116303219106,"18,19",A660
6,2,PL en transit,151.46162221012523,"18,19",A660
7,2,Vehicules Legers,-229.0,"18,19",A660
8,2,PL locaux,77.53837778987477,"18,19",A660
9,3,PL en transit,153.74343867166579,"18,19",A660
10,3,Vehicules Legers,-239.0,"18,19",A660
11,3,PL locaux,85.25656132833421,"18,19",A660
12,4,PL en transit,184.34120082815735,"18,19",A660
13,4,Vehicules Legers,-296.0,"18,19",A660
14,4,PL locaux,111.65879917184265,"18,19",A660
15,5,PL en transit,270.49151027703306,"18,19",A660
16,5,Vehicules Legers,-460.0,"18,19",A660
17,5,PL locaux,189.50848972296694,"18,19",A660
18,6,PL en transit,356.55460588793926,"18,19",A660
19,6,Vehicules Legers,-644.0,"18,19",A660
20,6,PL locaux,287.44539411206074,"18,19",A660
21,7,PL en transit,218.6539222148978,"18,19",A660
22,7,Vehicules Legers,-531.0,"18,19",A660
23,7,PL locaux,312.34607778510224,"18,19",A660
24,8,PL en transit,209.06135717188135,"18,19",A660
25,8,Vehicules Legers,-525.0,"18,19",A660
26,8,PL locaux,315.93864282811865,"18,19",A660
27,9,PL en transit,372.1594562802248,"18,19",A660
28,9,Vehicules Legers,-808.0,"18,19",A660
29,9,PL locaux,435.8405437197752,"18,19",A660
30,10,PL en transit,502.87409700722384,"18,19",A660
31,10,Vehicules Legers,-1025.0,"18,19",A660
32,10,PL locaux,522.1259029927762,"18,19",A660
33,11,PL en transit,450.5317582417583,"18,19",A660
34,11,Vehicules Legers,-969.0,"18,19",A660
35,11,PL locaux,518.4682417582417,"18,19",A660
36,12,PL en transit,466.4587155963303,"18,19",A660
37,12,Vehicules Legers,-892.0,"18,19",A660
38,12,PL locaux,425.5412844036697,"18,19",A660
39,13,PL en transit,459.4992175273866,"18,19",A660
40,13,Vehicules Legers,-848.0,"18,19",A660
41,13,PL locaux,388.5007824726134,"18,19",A660
42,14,PL en transit,434.86535008976665,"18,19",A660
43,14,Vehicules Legers,-840.0,"18,19",A660
44,14,PL locaux,405.13464991023335,"18,19",A660
45,15,PL en transit,434.2862041677657,"18,19",A660
46,15,Vehicules Legers,-843.0,"18,19",A660
47,15,PL locaux,408.7137958322343,"18,19",A660
48,16,PL en transit,380.1365543179517,"18,19",A660
49,16,Vehicules Legers,-739.0,"18,19",A660
50,16,PL locaux,358.8634456820483,"18,19",A660
51,17,PL en transit,283.0232010150444,"18,19",A660
52,17,Vehicules Legers,-589.0,"18,19",A660
53,17,PL locaux,305.9767989849556,"18,19",A660
54,18,PL en transit,287.23946599916565,"18,19",A660
55,18,Vehicules Legers,-574.0,"18,19",A660
56,18,PL locaux,286.76053400083435,"18,19",A660
57,19,PL en transit,351.23714979042586,"18,19",A660
58,19,Vehicules Legers,-566.0,"18,19",A660
59,19,PL locaux,214.76285020957414,"18,19",A660
60,20,PL en transit,359.4367929168716,"18,19",A660
61,20,Vehicules Legers,-505.0,"18,19",A660
62,20,PL locaux,145.56320708312842,"18,19",A660
63,21,PL en transit,281.2065858962411,"18,19",A660
64,21,Vehicules Legers,-388.0,"18,19",A660
65,21,PL locaux,106.79341410375889,"18,19",A660
66,22,PL en transit,227.9729932483121,"18,19",A660
